block_number,token_in,amount_in,amount_out,reserve0_before,reserve1_before,reserve0_after,reserve1_after,realized_price_1e18
9,token1,9332157261987046557085,9218391394440207728584,1000000000000000000000000,1000000000000000000000000,990781608605559792271416,1009332157261987046557085,987809263779743112
10,token0,13107324623605057511577,13139373824200467772652,990781608605559792271416,1009332157261987046557085,1003888933229164849782993,996192783437786578784433,1002445136709110924
11,token0,8499972489154638414659,8339108635280857166962,1003888933229164849782993,996192783437786578784433,1012388905718319488197652,987853674802505721617471,981074779467929795
12,token1,16044420386109584523790,16132354666718346259818,1012388905718319488197652,987853674802505721617471,996256551051601141937834,1003898095188615306141261,1005480676677163770
13,token0,3013833724885590992597,3018734998727831602951,996256551051601141937834,1003898095188615306141261,999270384776486732930431,1000879360189887474538310,1001626258874791332
14,token1,10426507303036147596147,10271832584587574831986,999270384776486732930431,1000879360189887474538310,988998552191899158098445,1011305867492923622134457,985165241441538889
15,token1,6897043047705826814821,6679258350977040663759,988998552191899158098445,1011305867492923622134457,982319293840922117434686,1018202910540629448949278,968423468546969823
16,token0,18469597041573901621673,18735637817041197699274,982319293840922117434686,1018202910540629448949278,1000788890882496019056359,999467272723588251250004,1014404254454953999
17,token1,12476468033192183503421,12302375757112262392757,1000788890882496019056359,999467272723588251250004,988486515125383756663602,1011943740756780434753425,986046349366121166
18,token0,7597658441544053770134,7695647923888651694894,988486515125383756663602,1011943740756780434753425,996084173566927810433736,1004248092832891783058531,1012897326603785015
19,token0,16829206730600251232228,16636009462511050869074,996084173566927810433736,1004248092832891783058531,1012913380297528061665964,987612083370380732189457,988520120337109344
20,token1,18485134293180978245999,18555560060076431580270,1012913380297528061665964,987612083370380732189457,994357820237451630085694,1006097217663561710435456,1003809859629823346
21,token0,9570765264746074116479,9562938694471721282682,994357820237451630085694,1006097217663561710435456,1003928585502197704202173,996534278969089989152774,999182241956849363
22,token0,13503008466791744025029,13186514382217717146016,1003928585502197704202173,996534278969089989152774,1017431593968989448227202,983347764586872272006758,976561217053785607
23,token1,8899628014616409594239,9098377493690041275210,1017431593968989448227202,983347764586872272006758,1008333216475299406951992,992247392601488681600997,1022332335547869317
24,token0,17853397315830216805826,17212038841312589857531,1008333216475299406951992,992247392601488681600997,1026186613791129623757818,975035353760176091743466,964076390438645062
25,token1,6738250917242245432801,7022088086188193729897,1026186613791129623757818,975035353760176091743466,1019164525704941430027921,981773604677418337176267,1042123270924751187
26,token0,4297498283601666153867,4110133801867017042592,1019164525704941430027921,981773604677418337176267,1023462023988543096181788,977663470875551320133675,956401499344492613
27,token1,2493616304292834716387,2595996783182660107469,1023462023988543096181788,977663470875551320133675,1020866027205360436074319,980157087179844154850062,1041057029789857544
28,token1,4809339007180754825960,4969746487566679162061,1020866027205360436074319,980157087179844154850062,1015896280717793756912258,984966426187024909676022,1033353331954021589
29,token0,13431750276690706920674,12814816635055335649129,1015896280717793756912258,984966426187024909676022,1029328030994484463832932,972151609551969574026893,954069005980107427
30,token1,4073130670761464258793,4281864574981236818450,1029328030994484463832932,972151609551969574026893,1025046166419503227014482,976224740222731038285686,1051246552367727044
31,token1,14606996157434327619470,15066722803072031545092,1025046166419503227014482,976224740222731038285686,1009979443616431195469390,990831736380165365905156,1031473044880875319
32,token0,18558180278885042937404,17825174179596414961887,1009979443616431195469390,990831736380165365905156,1028537623895316238406794,973006562200568950943269,960502264323694442
33,token0,17667278213885703524710,16382713161368719307082,1028537623895316238406794,973006562200568950943269,1046204902109201941931504,956623849039200231636187,927291287488336907
34,token0,14798102126035351340850,13302826924592877879330,1046204902109201941931504,956623849039200231636187,1061003004235237293272354,943321022114607353756857,898954934307979286
35,token0,7645766647133459780872,6728992454816760811874,1061003004235237293272354,943321022114607353756857,1068648770882370753053226,936592029659790592944983,880093882716076003
36,token1,5526699032188193084712,6250258356998437559844,1068648770882370753053226,936592029659790592944983,1062398512525372315493382,942118728691978786029695,1130920703406525956
37,token1,6135497760401806402842,6853557444656737512062,1062398512525372315493382,942118728691978786029695,1055544955080715577981320,948254226452380592432537,1117033647846675481
38,token1,10401653769861352595084,11418937154742096195081,1055544955080715577981320,948254226452380592432537,1044126017925973481786239,958655880222241945027621,1097800158262170587
39,token0,18598406009426723680272,16727681978625746872434,1044126017925973481786239,958655880222241945027621,1062724423935400205466511,941928198243616198155187,899414819213389141
40,token1,18280944754713258430507,20173136401813197097738,1062724423935400205466511,941928198243616198155187,1042551287533587008368773,960209142998329456585694,1103506228616116082
41,token0,1135152116128608046358,1041229429506515735143,1042551287533587008368773,960209142998329456585694,1043686439649715616415131,959167913568822940850551,917259823342080385
42,token0,6796651952002052979866,6187343035079303958457,1043686439649715616415131,959167913568822940850551,1050483091601717669394997,952980570533743636892094,910351608229215240
43,token1,18239508756453835359050,19669991777822921455744,1050483091601717669394997,952980570533743636892094,1030813099823894747939253,971220079290197472251144,1078427716473609878
44,token1,501812648287465900393,530732125745329122764,1030813099823894747939253,971220079290197472251144,1030282367698149418816489,971721891938484938151537,1057630028969091576
45,token1,16401090664080383138646,17050408189222560806227,1030282367698149418816489,971721891938484938151537,1013231959508926858010262,988122982602565321290183,1039589899137880609
46,token1,14887097257317127337473,14994365906179880637391,1013231959508926858010262,988122982602565321290183,998237593602746977372871,1003010079859882448627656,1007205477804615664
47,token1,10523692282498447263405,10334096771675516158325,998237593602746977372871,1003010079859882448627656,987903496831071461214546,1013533772142380895891061,981983936271279977
48,token1,9298278048532208766927,8954054348031160370865,987903496831071461214546,1013533772142380895891061,978949442483040300843681,1022832050190913104657988,962979844364259868
