underlying,valuation_date,expiry,strike,type,style,spot,market_price,risk_free_rate,dividend_yield
SYNOPT,2026-01-02,2026-04-03,70.0000,PUT,EUROPEAN,100.0000,0.237067,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,80.0000,PUT,EUROPEAN,100.0000,0.565542,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,90.0000,PUT,EUROPEAN,100.0000,1.514911,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,95.0000,PUT,EUROPEAN,100.0000,2.532212,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,100.0000,PUT,EUROPEAN,100.0000,4.192482,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,105.0000,CALL,EUROPEAN,100.0000,2.513984,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,110.0000,CALL,EUROPEAN,100.0000,1.034998,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,120.0000,CALL,EUROPEAN,100.0000,0.083350,0.045000,0.015000
SYNOPT,2026-01-02,2026-04-03,130.0000,CALL,EUROPEAN,100.0000,0.003422,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,70.0000,PUT,EUROPEAN,100.0000,1.157239,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,80.0000,PUT,EUROPEAN,100.0000,1.847949,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,90.0000,PUT,EUROPEAN,100.0000,3.219134,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,95.0000,PUT,EUROPEAN,100.0000,4.366070,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,100.0000,PUT,EUROPEAN,100.0000,5.980455,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,105.0000,CALL,EUROPEAN,100.0000,4.783651,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,110.0000,CALL,EUROPEAN,100.0000,2.786948,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,120.0000,CALL,EUROPEAN,100.0000,0.700310,0.045000,0.015000
SYNOPT,2026-01-02,2026-07-04,130.0000,CALL,EUROPEAN,100.0000,0.138597,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,70.0000,PUT,EUROPEAN,100.0000,3.450399,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,80.0000,PUT,EUROPEAN,100.0000,4.433221,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,90.0000,PUT,EUROPEAN,100.0000,6.035700,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,95.0000,PUT,EUROPEAN,100.0000,7.198992,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,100.0000,PUT,EUROPEAN,100.0000,8.694441,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,105.0000,CALL,EUROPEAN,100.0000,8.726722,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,110.0000,CALL,EUROPEAN,100.0000,6.314842,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,120.0000,CALL,EUROPEAN,100.0000,2.976007,0.045000,0.015000
SYNOPT,2026-01-02,2027-01-02,130.0000,CALL,EUROPEAN,100.0000,1.313551,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,70.0000,PUT,EUROPEAN,100.0000,7.954891,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,80.0000,PUT,EUROPEAN,100.0000,9.097403,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,90.0000,PUT,EUROPEAN,100.0000,10.757192,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,95.0000,PUT,EUROPEAN,100.0000,11.861011,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,100.0000,PUT,EUROPEAN,100.0000,13.197655,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,105.0000,PUT,EUROPEAN,100.0000,14.806222,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,110.0000,CALL,EUROPEAN,100.0000,13.234450,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,120.0000,CALL,EUROPEAN,100.0000,8.943027,0.045000,0.015000
SYNOPT,2026-01-02,2028-01-02,130.0000,CALL,EUROPEAN,100.0000,6.002385,0.045000,0.015000
